x,y,z
0.000,0.000,-7.244
1.000,0.000,-7.948
2.000,0.000,-7.956
3.000,0.000,-7.284
4.000,0.000,-7.296
5.000,0.000,-7.354
6.000,0.000,-7.392
7.000,0.000,-7.886
8.000,0.000,-7.983
9.000,0.000,-8.273
10.000,0.000,-8.440
11.000,0.000,-8.764
12.000,0.000,-8.963
13.000,0.000,-9.199
14.000,0.000,-9.361
15.000,0.000,-9.420
16.000,0.000,-10.867
17.000,0.000,-10.987
18.000,0.000,-11.805
19.000,0.000,-11.432
20.000,0.000,-11.855
21.000,0.000,-11.987
22.000,0.000,-12.881
23.000,0.000,-13.640
24.000,0.000,-13.371
25.000,0.000,-14.343
26.000,0.000,-13.221
27.000,0.000,-14.362
28.000,0.000,-13.599
29.000,0.000,-13.819
30.000,0.000,-13.568
31.000,0.000,-13.914
32.000,0.000,-13.573
33.000,0.000,-13.386
34.000,0.000,-13.930
35.000,0.000,-13.819
36.000,0.000,-13.402
37.000,0.000,-12.112
38.000,0.000,-12.486
39.000,0.000,-11.428
40.000,0.000,-11.261
41.000,0.000,-11.863
42.000,0.000,-11.393
43.000,0.000,-10.284
44.000,0.000,-10.851
45.000,0.000,-9.971
46.000,0.000,-9.748
47.000,0.000,-2.011
48.000,0.000,-8.444
49.000,0.000,-8.356
50.000,0.000,-7.571
51.000,0.000,-7.416
52.000,0.000,-7.462
53.000,0.000,-6.949
54.000,0.000,-6.388
55.000,0.000,-6.465
56.000,0.000,-6.525
57.000,0.000,-4.010
58.000,0.000,-6.579
59.000,0.000,-6.803
60.000,0.000,-6.863
